year,target_scope1_tco2e,target_scope2_tco2e,target_scope3_tco2e,target_emission_intensity_tco2e_per_boe,reduction_target_pct
2024,2600000,800000,9500000,0.085,4.0
2025,2444000,744000,9262500,0.0816,8.0
2026,2297360,691920,9030938,0.07834,12.0
2027,2159518,643486,8805164,0.0752,16.0
2028,2029947,598442,8585035,0.07219,20.0
2029,1908150,556551,8370409,0.06931,24.0
2030,1793661,517592,8161149,0.06653,28.0
2031,1686042,481361,7957120,0.06387,32.0
2032,1584879,447665,7758192,0.06132,36.0
2033,1489786,416329,7564237,0.05887,40.0
2034,1400399,387186,7375131,0.05651,44.0
2035,1316375,360083,7190753,0.05425,45.0
