date,asset_id,region,scope1_tco2e,scope2_tco2e,scope3_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_boe
2024-01-01,AST005,Africa,738.105,320.87,2343.05,3402.025,0.0734
2024-01-01,AST006,Americas,830.46,220.08,3296.38,4346.92,0.0743
2024-01-01,AST008,Asia Pacific,588.1933,170.1033,1928.97,2687.2667,0.0866
2024-01-01,AST010,Africa,414.06,132.45,1360.02,1906.53,0.0678
2024-01-01,AST011,Americas,1364.08,586.17,6190.53,8140.78,0.0896
2024-01-01,AST012,Europe,1063.51,188.93,2485.12,3737.56,0.0749
2024-01-01,AST016,Americas,621.535,199.635,2396.435,3217.605,0.0789
2024-01-01,AST017,Europe,1050.82,484.88,4280.76,5816.46,0.0842
2024-01-01,AST018,Asia Pacific,1556.3,295.76,3842.03,5694.09,0.0745
2024-01-01,AST019,Middle East,604.025,170.59,1575.845,2350.46,0.079
2024-01-01,AST020,Africa,957.05,282.79,2769.615,4009.455,0.0767
2024-01-01,AST021,Americas,1129.935,277.275,3832.85,5240.06,0.0799
2024-01-01,AST022,Europe,586.3967,197.7,2099.3267,2883.4233,0.0843
2024-01-01,AST023,Asia Pacific,695.99,298.54,2705.88,3700.41,0.0834
2024-01-01,AST029,Middle East,658.43,257.57,3292.67,4208.67,0.0914
2024-01-01,AST030,Africa,1445.795,497.695,5315.275,7258.765,0.0917
2024-01-02,AST002,Europe,729.94,163.94,2238.78,3132.66,0.0982
2024-01-02,AST004,Middle East,1186.8,371.79,3887.32,5445.91,0.0826
2024-01-02,AST005,Africa,988.02,347.1,3432.26,4767.38,0.0951
2024-01-02,AST006,Americas,956.77,375.23,3117.69,4449.69,0.0745
2024-01-02,AST013,Asia Pacific,912.03,436.99,3195.26,4544.28,0.0787
2024-01-02,AST014,Middle East,791.47,306.02,2915.91,4013.4,0.0684
2024-01-02,AST018,Asia Pacific,1128.46,335.84,3502.1,4966.4,0.0678
2024-01-02,AST019,Middle East,554.16,160.3233,1732.3433,2446.8267,0.0831
2024-01-02,AST020,Africa,869.89,274.99,3569.56,4714.44,0.0885
2024-01-02,AST021,Americas,1341.92,467.75,3611.78,5421.45,0.0776
2024-01-02,AST023,Asia Pacific,587.135,247.215,1975.08,2809.43,0.0687
2024-01-02,AST024,Middle East,631.64,168.96,2974.55,3775.15,0.0794
2024-01-02,AST025,Africa,1115.7,296.06,3039.63,4451.39,0.0783
2024-01-02,AST026,Americas,954.635,474.815,4241.88,5671.33,0.0869
2024-01-02,AST027,Europe,1253.6,508.05,4679.925,6441.575,0.0801
2024-01-02,AST030,Africa,1445.67,427.77,5068.455,6941.895,0.0851
2024-01-03,AST001,Americas,811.73,192.42,1945.45,2949.6,0.0731
2024-01-03,AST002,Europe,462.34,129.03,1525.97,2117.34,0.0704
2024-01-03,AST003,Asia Pacific,866.09,295.46,2823.34,3984.89,0.0956
2024-01-03,AST004,Middle East,1092.86,335.58,4189.78,5618.22,0.0839
2024-01-03,AST005,Africa,912.68,288.75,3393.59,4595.02,0.096
2024-01-03,AST006,Americas,756.155,281.34,3237.005,4274.5,0.081
2024-01-03,AST009,Middle East,653.54,269.17,2743.205,3665.915,0.0823
2024-01-03,AST011,Americas,1653.51,546.85,4640.21,6840.57,0.0875
2024-01-03,AST012,Europe,830.105,367.64,3264.13,4461.875,0.088
2024-01-03,AST013,Asia Pacific,1103.1,365.7,4115.84,5584.64,0.0935
2024-01-03,AST014,Middle East,1029.625,324.72,2919.225,4273.57,0.0776
2024-01-03,AST017,Europe,910.68,304.23,4291.97,5506.88,0.0763
2024-01-03,AST020,Africa,1243.29,356.32,3618.43,5218.04,0.0919
2024-01-03,AST021,Americas,1170.0033,350.4033,3902.6867,5423.0933,0.0813
2024-01-03,AST024,Middle East,767.72,333.19,2964.705,4065.615,0.0899
2024-01-03,AST025,Africa,926.37,355.86,3341.79,4624.02,0.0904
2024-01-03,AST026,Americas,868.91,461.97,4285.31,5616.19,0.0902
2024-01-03,AST027,Europe,1198.04,525.17,4574.34,6297.55,0.0783
2024-01-03,AST028,Asia Pacific,1399.71,440.72,5216.43,7056.86,0.0874
2024-01-04,AST001,Americas,739.165,244.385,2153.695,3137.245,0.0864
2024-01-04,AST003,Asia Pacific,785.25,229.52,2709.08,3723.85,0.0931
2024-01-04,AST004,Middle East,1221.57,372.69,4070.53,5664.79,0.0911
2024-01-04,AST005,Africa,666.61,280.215,3427.92,4374.745,0.0932
2024-01-04,AST007,Europe,988.5,515.49,4530.61,6034.6,0.0821
2024-01-04,AST010,Africa,517.91,192.09,2121.56,2831.56,0.092
2024-01-04,AST011,Americas,1407.36,422.895,5188.275,7018.53,0.089
2024-01-04,AST012,Europe,1028.48,403.54,2727.95,4159.97,0.0759
2024-01-04,AST016,Americas,671.25,139.27,2010.73,2821.25,0.0751
2024-01-04,AST018,Asia Pacific,1338.355,494.585,4351.65,6184.59,0.0819
2024-01-04,AST024,Middle East,657.01,356.62,2145.36,3158.99,0.0692
2024-01-04,AST025,Africa,672.1,333.19,3926.12,4931.41,0.0921
2024-01-04,AST027,Europe,1222.34,601.0,4753.18,6576.52,0.0795
2024-01-04,AST028,Asia Pacific,1687.4,392.41,3501.97,5581.78,0.0776
2024-01-04,AST029,Middle East,676.785,206.48,2650.705,3533.97,0.0884
2024-01-04,AST030,Africa,1219.54,444.33,5202.9,6866.77,0.089
2024-01-05,AST004,Middle East,860.89,434.375,3769.145,5064.41,0.0776
2024-01-05,AST008,Asia Pacific,528.39,211.04,1810.965,2550.395,0.0807
2024-01-05,AST009,Middle East,742.175,256.31,2520.635,3519.12,0.077
2024-01-05,AST010,Africa,476.97,121.86,2227.51,2826.34,0.0933
2024-01-05,AST012,Europe,950.79,260.34,2735.77,3946.9,0.0777
2024-01-05,AST013,Asia Pacific,911.94,419.44,3043.51,4374.89,0.0764
2024-01-05,AST014,Middle East,939.44,429.97,2820.19,4189.6,0.0707
2024-01-05,AST016,Americas,698.155,149.095,2711.525,3558.775,0.0889
2024-01-05,AST018,Asia Pacific,1320.95,394.56,4243.92,5959.43,0.0771
2024-01-05,AST019,Middle East,660.88,201.56,1865.59,2728.03,0.0904
2024-01-05,AST021,Americas,1489.51,528.07,4831.44,6849.02,0.1002
2024-01-05,AST022,Europe,631.73,211.12,2043.26,2886.11,0.0789
2024-01-05,AST025,Africa,1038.735,225.065,3535.58,4799.38,0.0891
2024-01-05,AST027,Europe,1199.18,535.225,4102.8,5837.205,0.0754
2024-01-05,AST029,Middle East,553.03,309.46,2679.01,3541.5,0.0774
2024-01-06,AST002,Europe,536.165,124.975,1781.88,2443.02,0.0831
2024-01-06,AST003,Asia Pacific,685.03,293.25,2599.33,3577.61,0.088
2024-01-06,AST004,Middle East,1194.74,398.32,3666.75,5259.81,0.0763
2024-01-06,AST005,Africa,926.84,300.09,2256.92,3483.85,0.074
2024-01-06,AST009,Middle East,630.41,254.15,2196.47,3081.03,0.0691
2024-01-06,AST012,Europe,713.79,428.96,3279.88,4422.63,0.0815
2024-01-06,AST014,Middle East,964.165,345.125,3086.02,4395.31,0.0826
2024-01-06,AST015,Africa,519.28,183.14,1436.62,2139.04,0.0759
2024-01-06,AST016,Americas,531.32,250.475,2484.86,3266.655,0.0877
2024-01-06,AST017,Europe,1248.44,297.45,5230.6,6776.49,0.0958
2024-01-06,AST018,Asia Pacific,1457.97,544.09,4762.66,6764.72,0.091
2024-01-06,AST019,Middle East,499.43,116.59,2169.77,2785.79,0.0867
