date,asset_id,region,segment,revenue_usd,cost_usd,margin_usd,margin_pct,revenue_per_boe_usd
2024-01-01,AST005,Africa,Integrated Gas,3562908.46,1846144.08,1716764.38,48.18,76.83
2024-01-01,AST006,Americas,Upstream Gas,4538864.13,1976858.63,2562005.5,56.45,77.59
2024-01-01,AST008,Asia Pacific,Integrated Gas,2337801.5,1334849.85,1002951.65,42.9,75.31
2024-01-01,AST010,Africa,Upstream Oil,2160402.45,1162217.54,998184.91,46.2,76.83
2024-01-01,AST011,Americas,Integrated Gas,7047238.9,3800756.01,3246482.89,46.07,77.59
2024-01-01,AST012,Europe,Upstream Gas,3987285.12,2371390.24,1615894.88,40.53,79.87
2024-01-01,AST016,Americas,Upstream Oil,3164099.7,1987190.19,1176909.51,37.2,77.59
2024-01-01,AST017,Europe,Integrated Gas,5514386.57,3099605.74,2414780.83,43.79,79.87
2024-01-01,AST018,Asia Pacific,Upstream Gas,5756191.04,2733749.68,3022441.36,52.51,75.31
2024-01-01,AST019,Middle East,Upstream Oil,2127083.04,1373599.7,753483.34,35.42,71.51
2024-01-01,AST020,Africa,Integrated Gas,4018591.35,2292276.36,1726314.99,42.96,76.83
2024-01-01,AST021,Americas,Upstream Gas,5087318.94,2899628.17,2187690.77,43.0,77.59
2024-01-01,AST022,Europe,Upstream Oil,2731487.33,1285697.65,1445789.68,52.93,79.87
2024-01-01,AST023,Asia Pacific,Integrated Gas,3342829.21,1608294.65,1734534.56,51.89,75.31
2024-01-01,AST029,Middle East,Integrated Gas,3292055.53,1539310.62,1752744.91,53.24,71.51
2024-01-01,AST030,Africa,Upstream Gas,6082340.78,2691631.25,3390709.53,55.75,76.83
2024-01-02,AST002,Europe,Integrated Gas,2734421.85,1523938.77,1210483.08,44.27,85.75
2024-01-02,AST004,Middle East,Upstream Oil,5063966.32,2270780.47,2793185.85,55.16,76.77
2024-01-02,AST005,Africa,Integrated Gas,4135058.27,2075221.46,2059836.81,49.81,82.49
2024-01-02,AST006,Americas,Upstream Gas,4977711.36,1841857.62,3135853.74,63.0,83.3
2024-01-02,AST013,Asia Pacific,Upstream Oil,4668792.96,1849213.39,2819579.57,60.39,80.85
2024-01-02,AST014,Middle East,Integrated Gas,4502932.62,2178294.19,2324638.43,51.62,76.77
2024-01-02,AST018,Asia Pacific,Upstream Gas,5918704.12,2779527.33,3139176.79,53.04,80.85
2024-01-02,AST019,Middle East,Upstream Oil,2260051.73,1378304.39,881747.34,39.01,76.77
2024-01-02,AST020,Africa,Integrated Gas,4393324.13,1905225.06,2488099.07,56.63,82.49
2024-01-02,AST021,Americas,Upstream Gas,5817409.64,2609117.71,3208291.93,55.15,83.3
2024-01-02,AST023,Asia Pacific,Integrated Gas,3304191.38,1456246.78,1847944.61,55.93,80.85
2024-01-02,AST024,Middle East,Upstream Gas,3651325.23,1565677.74,2085647.49,57.12,76.77
2024-01-02,AST025,Africa,Upstream Oil,4687059.27,2512722.67,2174336.6,46.39,82.49
2024-01-02,AST026,Americas,Integrated Gas,5439503.76,2347881.95,3091621.81,56.84,83.3
2024-01-02,AST027,Europe,Upstream Gas,6899898.12,2670877.8,4229020.32,61.29,85.75
2024-01-02,AST030,Africa,Upstream Gas,6725016.93,3247153.31,3477863.62,51.72,82.49
2024-01-03,AST001,Americas,Upstream Oil,3234506.9,1596861.92,1637644.98,50.63,80.14
2024-01-03,AST002,Europe,Integrated Gas,2480234.9,1314792.77,1165442.13,46.99,82.5
2024-01-03,AST003,Asia Pacific,Upstream Gas,3241505.13,1867402.59,1374102.54,42.39,77.78
2024-01-03,AST004,Middle East,Upstream Oil,4945827.5,3003330.16,1942497.34,39.28,73.86
2024-01-03,AST005,Africa,Integrated Gas,3797487.67,1844120.73,1953366.94,51.44,79.36
2024-01-03,AST006,Americas,Upstream Gas,4229843.06,2159158.98,2070684.07,48.95,80.14
2024-01-03,AST009,Middle East,Upstream Gas,3290755.96,1452260.11,1838495.85,55.87,73.86
2024-01-03,AST011,Americas,Integrated Gas,6265775.22,3283492.73,2982282.49,47.6,80.14
2024-01-03,AST012,Europe,Upstream Gas,4183086.44,1755638.58,2427447.86,58.03,82.5
2024-01-03,AST013,Asia Pacific,Upstream Oil,4646989.65,2369988.57,2277001.08,49.0,77.78
2024-01-03,AST014,Middle East,Integrated Gas,4066758.84,2048708.81,2018050.03,49.62,73.86
2024-01-03,AST017,Europe,Integrated Gas,5956309.2,2470315.37,3485993.83,58.53,82.5
2024-01-03,AST020,Africa,Integrated Gas,4504864.38,2477204.78,2027659.6,45.01,79.36
2024-01-03,AST021,Americas,Upstream Gas,5343534.7,2771045.3,2572489.4,48.14,80.14
2024-01-03,AST024,Middle East,Upstream Gas,3338799.15,1661613.9,1677185.26,50.23,73.86
2024-01-03,AST025,Africa,Upstream Oil,4058964.7,2102302.63,1956662.07,48.21,79.36
