date,asset_id,downtime_hours,maintenance_type,planned_unplanned,region,segment,estimated_production_loss_boe,estimated_revenue_loss_usd
2025-01-01,AST-002,16.62,Corrective,Planned,North America,Upstream,19537.5,1453442.0
2025-01-01,AST-003,0.28,Corrective,Planned,Middle East,Upstream,1157.0,83640.0
2025-01-01,AST-008,0.76,Preventive,Planned,North America,Upstream,3814.0,283423.0
2025-01-01,AST-011,5.87,Preventive,Planned,Middle East,Upstream,8388.0,540699.0
2025-01-01,AST-012,3.56,Corrective,Planned,Africa,Upstream,15824.0,1261531.0
2025-01-01,AST-015,4.56,Corrective,Planned,North America,Integrated Gas,16761.0,1306105.0
2025-01-01,AST-017,9.62,Preventive,Planned,Middle East,Chemicals & Products,44616.0,3105071.0
2025-01-01,AST-032,21.04,Corrective,Unplanned,Europe,Upstream,66086.0,4649844.0
2025-01-01,AST-040,3.74,Corrective,Planned,Middle East,Integrated Gas,7294.0,470461.0
2025-01-01,AST-042,10.68,Preventive,Unplanned,North America,Integrated Gas,68094.0,5187182.0
2025-01-01,AST-045,3.63,Inspection,Unplanned,India,Upstream,14877.0,1076066.0
2025-01-01,AST-050,18.12,Corrective,Planned,North America,Upstream,11253.0,761189.5
2025-01-02,AST-002,1.0,Corrective,Planned,North America,Upstream,2462.0,149797.0
2025-01-02,AST-003,2.88,Turnaround,Planned,Middle East,Upstream,14411.0,982509.0
2025-01-02,AST-005,4.07,Preventive,Planned,China,Integrated Gas,21974.0,1832699.0
2025-01-02,AST-006,11.89,Corrective,Planned,Africa,Integrated Gas,26785.5,2098620.0
2025-01-02,AST-010,2.88,Corrective,Planned,India,Upstream,3099.0,202980.0
2025-01-02,AST-014,4.63,Preventive,Planned,North America,Upstream,7954.0,502599.0
2025-01-02,AST-019,5.22,Inspection,Unplanned,Africa,Upstream,18013.0,1310983.0
2025-01-02,AST-022,8.57,Corrective,Planned,China,Upstream,28519.0,2266894.0
2025-01-02,AST-024,4.1,Preventive,Planned,Africa,Integrated Gas,7044.0,527560.0
2025-01-02,AST-026,4.36,Preventive,Planned,Middle East,Upstream,24306.0,1521541.0
2025-01-02,AST-029,1.54,Preventive,Planned,Middle East,Integrated Gas,9465.0,733491.0
2025-01-02,AST-037,1.23,Corrective,Planned,Africa,Upstream,2450.0,181503.0
2025-01-02,AST-039,7.07,Corrective,Planned,Europe,Integrated Gas,34957.0,2697092.0
