date,asset_id,production_boe_d,production_status
2024-01-01,AST005,46373.5,Low
2024-01-01,AST006,58497.0,Normal
2024-01-01,AST008,31042.67,Low
2024-01-01,AST010,28119.0,Low
2024-01-01,AST011,90825.0,High
2024-01-01,AST012,49920.0,Normal
2024-01-01,AST016,40779.0,Low
2024-01-01,AST017,69039.0,Normal
2024-01-01,AST018,76434.0,High
2024-01-01,AST019,29747.0,Low
2024-01-01,AST020,52304.5,Normal
2024-01-01,AST021,65565.5,Normal
2024-01-01,AST022,34197.67,Low
2024-01-01,AST023,44388.0,Low
2024-01-01,AST029,46039.0,Normal
2024-01-01,AST030,79165.5,High
2024-01-02,AST002,31887.0,Low
2024-01-02,AST004,65963.0,Normal
2024-01-02,AST005,50130.0,Normal
2024-01-02,AST006,59754.0,Normal
2024-01-02,AST013,57744.0,Normal
2024-01-02,AST014,58655.0,Normal
2024-01-02,AST018,73203.0,High
2024-01-02,AST019,29439.33,Low
2024-01-02,AST020,53261.0,Normal
2024-01-02,AST021,69834.0,Normal
2024-01-02,AST023,40866.5,Low
2024-01-02,AST024,47562.0,Normal
2024-01-02,AST025,56822.0,Normal
2024-01-02,AST026,65297.5,Normal
2024-01-02,AST027,80462.0,High
2024-01-02,AST030,81528.5,High
2024-01-03,AST001,40360.0,Low
2024-01-03,AST002,30064.0,Low
2024-01-03,AST003,41673.0,Low
2024-01-03,AST004,66966.0,Normal
2024-01-03,AST005,47854.0,Normal
2024-01-03,AST006,52779.75,Normal
2024-01-03,AST009,44556.5,Low
2024-01-03,AST011,78184.0,High
2024-01-03,AST012,50705.0,Normal
2024-01-03,AST013,59742.0,Normal
2024-01-03,AST014,55063.5,Normal
2024-01-03,AST017,72199.0,High
2024-01-03,AST020,56768.0,Normal
2024-01-03,AST021,66676.33,Normal
2024-01-03,AST024,45207.0,Low
2024-01-03,AST025,51149.0,Normal
2024-01-03,AST026,62264.0,Normal
2024-01-03,AST027,80386.0,High
2024-01-03,AST028,80769.0,High
2024-01-04,AST001,36310.0,Low
2024-01-04,AST003,39997.0,Low
2024-01-04,AST004,62200.0,Normal
2024-01-04,AST005,46940.5,Normal
2024-01-04,AST007,73527.0,High
2024-01-04,AST010,30774.0,Low
2024-01-04,AST011,78860.0,High
2024-01-04,AST012,54828.0,Normal
2024-01-04,AST016,37588.0,Low
2024-01-04,AST018,75506.0,High
2024-01-04,AST024,45620.0,Normal
2024-01-04,AST025,53541.0,Normal
2024-01-04,AST027,82725.0,High
2024-01-04,AST028,71917.0,High
2024-01-04,AST029,39976.5,Low
2024-01-04,AST030,77185.0,High
2024-01-05,AST004,65284.0,Normal
2024-01-05,AST008,31598.5,Low
2024-01-05,AST009,45674.0,Normal
2024-01-05,AST010,30280.0,Low
